model,clip_id,segment_id,speaker_id,condition,noise_type,snr_db,ratio_english_words,ratio_hindi_words,reference,hypothesis,wer,cer,latency_sec
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,clean,none,clean,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रइट प्लिक करें,0.7777777777777778,0.8,3.1139450073242188
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रइट प्लिक करें,0.7777777777777778,0.8,0.7516379356384277
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रइट प्लिक करें,0.7777777777777778,0.8,0.7475411891937256
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रइट प्लिक करें,0.7777777777777778,0.8,0.910811185836792
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रई प्लिक करें,0.7777777777777778,0.8,0.38136768341064453
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब आप रईट प्लिक करेंग.,1.0,0.8222222222222222,0.49631500244140625
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो,8.333333333333334,4.777777777777778,3.7589049339294434
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रइट प्लिक करें,0.7777777777777778,0.8,0.39322924613952637
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रईट प्लिक करें,0.7777777777777778,0.8,0.3907351493835449
whisper_small,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,अब रब प्लिक तरें,0.8888888888888888,0.8222222222222222,0.37689733505249023
whisper_small,clip_0001,478254_aVTioioyNUVPGF4t_0153,478254,clean,none,clean,0.1666666666666666,0.8333333333333334,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,अच्छी बैंविट ना मिलने पर आपी से रावडोट करके देख सकते हैं अच्छी बैंविट ना मिलने पर आपी से रावडोट करके देख सकते हैं अच्छी बैंविट ना मिलने पर आपी से रावडोट करके देख सकते हैं अच्छी बैंविट ना मिलने पर आपी से रावड,3.0833333333333335,2.75,3.041901111602783
whisper_small,clip_0001,478254_aVTioioyNUVPGF4t_0153,478254,traffic,traffic,15,0.1666666666666666,0.8333333333333334,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,अपी से रावन डोट करके देख सकते हैं अपी से रावन डोट करते हैं अपी से रावन डोट करते हैं अपी से रावन डोट करते हैं अपी से रावन डोट करते हैं अपी से रावन डोट करते हैं अपी से रावन डोट करते हैं अपी से रावन डोट करते हैं अपी से रावन डो,4.416666666666667,3.2,3.0455448627471924
whisper_small,clip_0001,478254_aVTioioyNUVPGF4t_0153,478254,traffic,traffic,10,0.1666666666666666,0.8333333333333334,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,अपी से राँडोट करके देख सकते हैं अपी से राँडोट करते हैं अपी से राँडोट करते हैं अपी से राँडोट करते हैं अपी से राँडोट करते हैं अपी से राँडोट करते हैं अपी से राँडोट करते हैं अपी से राँडोट करते हैं अपी से राँडोट करते हैं,3.8333333333333335,3.0833333333333335,3.4861578941345215
