condition,snr_db,wer,relative_degradation_pct
babble,10,1.558391984477511,56.37698041912649
babble,15,1.4419619705629767,44.693800457047764
babble,5,1.6526849524314695,65.83881656193827
clean,clean,0.9965609901794112,0.0
indoor,10,0.9899636708750486,-0.6620085844595397
indoor,15,1.0330629786879786,3.6627952396567194
indoor,5,1.0604949911199912,6.415462934091964
traffic,10,1.0216815567473463,2.520725456393048
traffic,15,1.0383773865023866,4.196069958091293
traffic,5,1.0406064564520447,4.419746177773222
